ds_codigo,iptc_2025
1,74.9
2,72.3
3,59.7
4,78.5
5,71.3
6,84.4
7,85.2
8,84.5
9,81.3
10,86.8
11,72.5
12,75.4
13,76.9
14,81.4
15,79.3
16,73.9
17,69.2
18,78.6
19,71.2
20,78.5
21,73.5
22,72.1
23,72.6
24,71.4
25,70.8
26,80.4
27,65.6
28,70.6
29,69.8
30,61.9
31,70.7
32,84.4
33,70.5
34,74.1
35,83.9
36,70.7
37,72.2
38,72.6
39,70.7
40,60.9
41,66.2
42,69.0
43,69.2
44,66.3
45,83.7
46,70.6
47,70.8
48,77.2
49,75.2
50,73.3
51,69.5
52,41.5
53,77.3
54,67.6
55,57.6
56,73.5
57,68.2
58,64.6
59,77.1
60,71.4
61,61.0
62,83.7
63,71.6
64,76.2
65,66.7
66,89.6
67,62.1
68,69.4
69,84.7
70,81.0
71,78.2
72,74.1
73,73.5
74,77.2
75,68.6
76,73.4
77,72.2
78,79.5
79,76.7
80,81.8
81,70.6
82,76.8
83,66.2
84,71.9
85,77.7
86,72.9
87,72.4
88,72.6
89,76.1
90,77.5
91,73.3
92,77.4
93,71.8
94,68.3
95,62.0
96,63.4
